"","año","region","electores","por_participacion","votos_emitidos","votos_validos","org_politica","tipo_org_politica","votos","por_votos"
"1",2002,"AMAZONAS",173234,0.78871,136631,116733,"PARTIDO APRISTA PERUANO","PARTIDO POLÍTICO",23421,0.20064
"2",2002,"AMAZONAS",173234,0.78871,136631,116733,"PERU POSIBLE","PARTIDO POLÍTICO",23166,0.19845
"3",2002,"AMAZONAS",173234,0.78871,136631,116733,"ALIANZA ELECTORAL UNIDAD NACIONAL","ALIANZA ELECTORAL",20522,0.1758
"4",2002,"AMAZONAS",173234,0.78871,136631,116733,"ACCION POPULAR","PARTIDO POLÍTICO",19838,0.16994
"5",2002,"AMAZONAS",173234,0.78871,136631,116733,"INTEGRACION 6 DE JUNIO","MOVIMIENTO REGIONAL",15734,0.13479
"6",2002,"AMAZONAS",173234,0.78871,136631,116733,"ENERGIA COMUNAL AMAZONICA","MOVIMIENTO REGIONAL",9797,0.08393
"7",2002,"AMAZONAS",173234,0.78871,136631,116733,"VICTORIA AMAZONENSE","MOVIMIENTO REGIONAL",4255,0.03645
"8",2002,"AMAZONAS",173234,0.78871,136631,116733,"VOTOS EN BLANCO",NA,10185,NA
"9",2002,"AMAZONAS",173234,0.78871,136631,116733,"VOTOS NULOS",NA,9713,NA
"10",2002,"ANCASH",618867,0.81996,507445,418235,"PARTIDO APRISTA PERUANO","PARTIDO POLÍTICO",115218,0.27549
"11",2002,"ANCASH",618867,0.81996,507445,418235,"PERU POSIBLE","PARTIDO POLÍTICO",112013,0.26782
"12",2002,"ANCASH",618867,0.81996,507445,418235,"PARTIDO RENACIMIENTO ANDINO","PARTIDO POLÍTICO",47008,0.1124
"13",2002,"ANCASH",618867,0.81996,507445,418235,"PARTIDO DEMOCRATICO SOMOS PERU","PARTIDO POLÍTICO",43708,0.10451
"14",2002,"ANCASH",618867,0.81996,507445,418235,"ALIANZA ELECTORAL UNIDAD NACIONAL","ALIANZA ELECTORAL",43702,0.10449
"15",2002,"ANCASH",618867,0.81996,507445,418235,"ACCION POPULAR","PARTIDO POLÍTICO",23671,0.0566
"16",2002,"ANCASH",618867,0.81996,507445,418235,"MOVIMIENTO NUEVA IZQUIERDA","PARTIDO POLÍTICO",19560,0.04677
"17",2002,"ANCASH",618867,0.81996,507445,418235,"AGRUPACION INDEPENDIENTE UNION POR EL PERU - FRENTE AMPLIO","PARTIDO POLÍTICO",13355,0.03193
"18",2002,"ANCASH",618867,0.81996,507445,418235,"VOTOS EN BLANCO",NA,41041,NA
"19",2002,"ANCASH",618867,0.81996,507445,418235,"VOTOS NULOS",NA,48169,NA
"20",2002,"APURIMAC",196196,0.78215,153454,125221,"AGRUPACION INDEPENDIENTE UNION POR EL PERU - FRENTE AMPLIO","PARTIDO POLÍTICO",34057,0.27198
"21",2002,"APURIMAC",196196,0.78215,153454,125221,"FRENTE POPULAR LLAPANCHIK","MOVIMIENTO REGIONAL",31721,0.25332
"22",2002,"APURIMAC",196196,0.78215,153454,125221,"MOVIMIENTO NUEVA IZQUIERDA","PARTIDO POLÍTICO",16822,0.13434
"23",2002,"APURIMAC",196196,0.78215,153454,125221,"PARTIDO APRISTA PERUANO","PARTIDO POLÍTICO",14071,0.11237
"24",2002,"APURIMAC",196196,0.78215,153454,125221,"ALIANZA ELECTORAL UNIDAD NACIONAL","ALIANZA ELECTORAL",11486,0.09173
"25",2002,"APURIMAC",196196,0.78215,153454,125221,"TODAS LAS SANGRES","MOVIMIENTO REGIONAL",11444,0.09139
"26",2002,"APURIMAC",196196,0.78215,153454,125221,"PARTIDO POLITICO NACIONAL PRIMERO PERU","PARTIDO POLÍTICO",5620,0.04488
"27",2002,"APURIMAC",196196,0.78215,153454,125221,"VOTOS EN BLANCO",NA,13388,NA
"28",2002,"APURIMAC",196196,0.78215,153454,125221,"VOTOS NULOS",NA,14845,NA
"29",2002,"AREQUIPA",725865,0.87566,635613,550464,"PARTIDO APRISTA PERUANO","PARTIDO POLÍTICO",171082,0.3108
"30",2002,"AREQUIPA",725865,0.87566,635613,550464,"FUERZA DEMOCRATICA","PARTIDO POLÍTICO",139100,0.2527
"31",2002,"AREQUIPA",725865,0.87566,635613,550464,"ACCION POPULAR","PARTIDO POLÍTICO",62331,0.11323
"32",2002,"AREQUIPA",725865,0.87566,635613,550464,"PERU POSIBLE","PARTIDO POLÍTICO",33791,0.06139
"33",2002,"AREQUIPA",725865,0.87566,635613,550464,"MOVIMIENTO REGIONAL AREQUIPA UNIDA","MOVIMIENTO REGIONAL",31091,0.05648
"34",2002,"AREQUIPA",725865,0.87566,635613,550464,"PARTIDO DEMOCRATICO SOMOS PERU","PARTIDO POLÍTICO",22705,0.04125
"35",2002,"AREQUIPA",725865,0.87566,635613,550464,"PARTIDO POLITICO NACIONAL PRIMERO PERU","PARTIDO POLÍTICO",22636,0.04112
"36",2002,"AREQUIPA",725865,0.87566,635613,550464,"MOVIMIENTO NUEVA IZQUIERDA","PARTIDO POLÍTICO",20910,0.03799
"37",2002,"AREQUIPA",725865,0.87566,635613,550464,"AGRUPACION INDEPENDIENTE UNION POR EL PERU - FRENTE AMPLIO","PARTIDO POLÍTICO",18315,0.03327
"38",2002,"AREQUIPA",725865,0.87566,635613,550464,"MOVIMIENTO AMPLIO PAIS UNIDO - MAPU","PARTIDO POLÍTICO",15675,0.02848
"39",2002,"AREQUIPA",725865,0.87566,635613,550464,"LISTA INDEPENDIENTE FRENATRACA","MOVIMIENTO REGIONAL",12828,0.0233
"40",2002,"AREQUIPA",725865,0.87566,635613,550464,"VOTOS EN BLANCO",NA,28867,NA
"41",2002,"AREQUIPA",725865,0.87566,635613,550464,"VOTOS NULOS",NA,56282,NA
"42",2002,"AYACUCHO",309372,0.75365,233158,191576,"PARTIDO APRISTA PERUANO","PARTIDO POLÍTICO",43996,0.22965
"43",2002,"AYACUCHO",309372,0.75365,233158,191576,"MOVIMIENTO INDEPENDIENTE ""INTEGRACION REGIONAL""","MOVIMIENTO REGIONAL",29339,0.15315
"44",2002,"AYACUCHO",309372,0.75365,233158,191576,"PERU POSIBLE","PARTIDO POLÍTICO",24071,0.12565
"45",2002,"AYACUCHO",309372,0.75365,233158,191576,"ALIANZA ELECTORAL UNIDAD NACIONAL","ALIANZA ELECTORAL",17217,0.08987
"46",2002,"AYACUCHO",309372,0.75365,233158,191576,"FRENTE INDEPENDIENTE MORALIZADOR","PARTIDO POLÍTICO",15678,0.08184
